"","x"
"Transformational_success -> ORG_IMP_12",1.042
"Transformational_success -> STAKEH_ACC_4",0.934
"Transformational_success -> EMPL_SKI_8",0.966
"Transformational_success -> DEC_IMP_13",0.942
"Transformational_success -> BUSI_IMP_11",0.951
"Transformational_success -> IMPL_SUCC_1",0.981
"Transformational_success -> EMPL_BEL_10",0.736
"Deployment_success -> ACT_INTG_7",1.511
"Improvement_Proj_success -> TASK_COMP_3",1.133
"Improvement_Readiness -> CONTX_CUS_14",0.961
"Improvement_Readiness -> EFT_REQ_15",0.862
"Improvement_Readiness -> EMP_ENG_12",0.772
"Improvement_Readiness -> EXP_CON_20",0.685
"Improvement_Readiness -> CUS_IDEF_26",0.735
"Sust_Impr_Infrasturcture -> PAT_RES_24",0.893
"Sust_Impr_Infrasturcture -> WKF_SKL_19",0.991
"Sust_Impr_Infrasturcture -> RES_AVL_4",0.8
"Supportive_Leadership -> LD_INV_5",0.977
"Supportive_Leadership -> LD_SUP_1",0.919
"Meas_based_improvement -> DEF_MEA_7",1.191
"Meas_based_improvement -> PRJ_SEL_6",1.117
"Change_awareness -> UND_CNG_22",0.511
"Improvement_Readiness -> Transformational_success",0.348
"Sust_Impr_Infrasturcture -> Transformational_success",0.118
"Supportive_Leadership -> Transformational_success",0.24
"Meas_based_improvement -> Transformational_success",0.029
"Change_awareness -> Transformational_success",0.214
"Improvement_Readiness -> Deployment_success",0
"Sust_Impr_Infrasturcture -> Deployment_success",0.414
"Supportive_Leadership -> Deployment_success",0.049
"Meas_based_improvement -> Deployment_success",0.001
"Change_awareness -> Deployment_success",0.167
"Improvement_Readiness -> Improvement_Proj_success",0.159
"Sust_Impr_Infrasturcture -> Improvement_Proj_success",0
"Supportive_Leadership -> Improvement_Proj_success",0.259
"Meas_based_improvement -> Improvement_Proj_success",0.406
"Change_awareness -> Improvement_Proj_success",0.06
"EMPL_SAT_9 ~~ EMPL_SAT_9",0.237
"ORG_IMP_12 ~~ ORG_IMP_12",0.214
"STAKEH_ACC_4 ~~ STAKEH_ACC_4",0.365
"EMPL_SKI_8 ~~ EMPL_SKI_8",0.323
"DEC_IMP_13 ~~ DEC_IMP_13",0.355
"BUSI_IMP_11 ~~ BUSI_IMP_11",0.343
"IMPL_SUCC_1 ~~ IMPL_SUCC_1",0.302
"EMPL_BEL_10 ~~ EMPL_BEL_10",0.6
"DEPLOY_6 ~~ DEPLOY_6",0.518
"ACT_INTG_7 ~~ ACT_INTG_7",0.046
"BUDG_COMP_2 ~~ BUDG_COMP_2",0.35
"TASK_COMP_3 ~~ TASK_COMP_3",0.238
"TOOL_AP_13 ~~ TOOL_AP_13",0.231
"CONTX_CUS_14 ~~ CONTX_CUS_14",0.27
"EFT_REQ_15 ~~ EFT_REQ_15",0.41
"EMP_ENG_12 ~~ EMP_ENG_12",0.524
"EXP_CON_20 ~~ EXP_CON_20",0.622
"CUS_IDEF_26 ~~ CUS_IDEF_26",0.567
"TRA_EDUC_18 ~~ TRA_EDUC_18",0.343
"PAT_RES_24 ~~ PAT_RES_24",0.449
"WKF_SKL_19 ~~ WKF_SKL_19",0.325
"RES_AVL_4 ~~ RES_AVL_4",0.554
"LD_STL_9 ~~ LD_STL_9",0.232
"LD_INV_5 ~~ LD_INV_5",0.246
"LD_SUP_1 ~~ LD_SUP_1",0.331
"DAT_QLT_11 ~~ DAT_QLT_11",0.463
"DEF_MEA_7 ~~ DEF_MEA_7",0.195
"PRJ_SEL_6 ~~ PRJ_SEL_6",0.29
"EMP_ATT_3 ~~ EMP_ATT_3",0.133
"UND_CNG_22 ~~ UND_CNG_22",0.76
"Transformational_success ~~ Transformational_success",0.167
"Deployment_success ~~ Deployment_success",0.157
"Improvement_Proj_success ~~ Improvement_Proj_success",0.137
"Improvement_Readiness ~~ Improvement_Readiness",0.774
"Sust_Impr_Infrasturcture ~~ Sust_Impr_Infrasturcture",0.673
"Supportive_Leadership ~~ Supportive_Leadership",0.775
"Meas_based_improvement ~~ Meas_based_improvement",0.557
"Change_awareness ~~ Change_awareness",0.862
"Improvement_Readiness ~~ Sust_Impr_Infrasturcture",0.463
"Improvement_Readiness ~~ Supportive_Leadership",0.544
"Improvement_Readiness ~~ Meas_based_improvement",0.422
"Improvement_Readiness ~~ Change_awareness",0.454
"Sust_Impr_Infrasturcture ~~ Supportive_Leadership",0.492
"Sust_Impr_Infrasturcture ~~ Meas_based_improvement",0.384
"Sust_Impr_Infrasturcture ~~ Change_awareness",0.436
"Supportive_Leadership ~~ Meas_based_improvement",0.515
"Supportive_Leadership ~~ Change_awareness",0.509
"Meas_based_improvement ~~ Change_awareness",0.433
"Transformational_success ~~ Deployment_success",0.061
"Transformational_success ~~ Improvement_Proj_success",0.021
"Deployment_success ~~ Improvement_Proj_success",0.025
