"","Original Est.","Bootstrap Mean","Bootstrap SD","T Stat.","2.5% CI","97.5% CI"
"Improvement_Readiness  ->  Transformation_Success",0.310714486417952,0.319782867424119,0.120348930596209,2.5817802026048,0.0985790219362692,0.572491835174213
"Improvement_Readiness  ->  Deployment_Success",-0.119817313818771,-0.111166326639214,0.118718900777177,-1.00925221708088,-0.334760264422741,0.137966210475072
"Improvement_Readiness  ->  Improvement_Project_Success",0.238511447998905,0.243215537059215,0.136753579225433,1.74409656661144,-0.0181873572492576,0.514898811310705
"Sustainable_Improvement_Infrastructure  ->  Transformation_Success",0.148098166241138,0.153823534402145,0.0918889868241568,1.6117074674525,-0.0157933268059967,0.357154157103388
"Sustainable_Improvement_Infrastructure  ->  Deployment_Success",0.455433537579541,0.467407471699908,0.121893054561089,3.73633706382583,0.237502982802795,0.719112827137483
"Sustainable_Improvement_Infrastructure  ->  Improvement_Project_Success",-0.0310277579051612,-0.0180472098021422,0.119342553119387,-0.259989057500067,-0.227394372698241,0.251204445352285
"Supportive_Leadership  ->  Transformation_Success",0.22106035688817,0.21105726802051,0.115730250456267,1.91013461058486,-0.0214630484755747,0.436708039586414
"Supportive_Leadership  ->  Deployment_Success",0.221751024897121,0.206897918812901,0.178992404087928,1.23888511374029,-0.149768758517749,0.555685358049113
"Supportive_Leadership  ->  Improvement_Project_Success",0.262984590693244,0.25627954437858,0.140573102081427,1.8708030682919,-0.0159555542773169,0.531446922381187
"Measures_based_Improvement  ->  Transformation_Success",0.135406880198933,0.122991411120642,0.118718537637238,1.14057065470844,-0.123194464205911,0.345260740051526
"Measures_based_Improvement  ->  Deployment_Success",0.117044559832008,0.117092576499108,0.137829418959617,0.849198674096572,-0.156793655664419,0.388917913870221
"Measures_based_Improvement  ->  Improvement_Project_Success",0.361062414552129,0.350508991565181,0.110970343975774,3.25368383674609,0.118183654173471,0.552531201609119
"Change_Awareness  ->  Transformation_Success",0.220140025261327,0.216849416590183,0.109133142498145,2.01716930551202,-0.000671207473620172,0.432860780575302
"Change_Awareness  ->  Deployment_Success",0.176025075535532,0.159696930252324,0.144809288332359,1.21556481329795,-0.138230639685397,0.416320104638191
"Change_Awareness  ->  Improvement_Project_Success",0.112023459760015,0.11016540267428,0.148363583164023,0.755060354913162,-0.191728366066797,0.374763317123494
